full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Cresswell,31,629683200,1989/12/15,Premier League,2015/2016,Defender,West Ham United,3315,1620,1695,England,37,18,19,2,0,2,4,3,1,0,0,11,6,5,48,24,24,1,0,0.16,0.11,0.05,0,0.11,1658,1.3,69,90,3315,829,0.03,216,136,103,10
Aaron Lennon,33,545526000,1987/04/15,Premier League,2015/2016,Midfielder,Everton,1538,654,884,England,25,11,14,5,3,2,0,0,0,0,0,5,2,3,24,8,16,1,0,0.29,0,0.29,0.41,0.2,308,1.4,64,62,1538,0,0.06,66,281,-1,4
Aaron Ramsey,30,662169600,1990/12/26,Premier League,2015/2016,Midfielder,Arsenal,2623,1275,1348,Wales,31,15,16,5,1,4,4,2,2,0,0,14,8,6,25,9,16,4,0,0.31,0.14,0.17,0.07,0.27,525,0.86,105,85,656,656,0.14,110,98,-1,4
Abdul Rahman Baba,26,773103600,1994/07/01,Premier League,2015/2016,Defender,Chelsea,1017,495,522,Ghana,15,6,9,0,0,0,1,0,1,0,0,2,1,1,11,6,5,1,0,0.09,0.09,0,0,0,0,0.97,92,68,1017,1017,0.09,298,156,42,24
Ádám Bogdán,33,559695600,1987/09/26,Premier League,2015/2016,Goalkeeper,Liverpool,180,0,180,Hungary,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,31
Adam David Lallana,32,579222000,1988/05/09,Premier League,2015/2016,Midfielder,Liverpool,2113,1241,872,England,30,16,14,4,3,1,6,3,3,0,0,8,5,3,24,13,11,2,0,0.43,0.26,0.17,0.22,0.1,528,1.02,88,70,1057,352,0.09,114,30,-1,7
Adam Federici,36,475977600,1985/01/31,Premier League,2015/2016,Goalkeeper,AFC Bournemouth,496,136,360,Australia,6,2,4,0,0,0,0,0,0,0,0,0,0,0,15,3,12,0,0,0,0,0,0,0,0,2.72,33,83,0,0,0,356,252,184,24
Adam Johnson,33,553215600,1987/07/13,Premier League,2015/2016,Midfielder,Sunderland,1143,486,657,England,19,8,11,2,1,1,5,2,3,1,0,2,2,0,27,4,23,3,0,0.55,0.39,0.16,0.19,0.14,572,2.13,42,60,381,229,0.24,120,13,-1,8
Adam Matthews,29,695260800,1992/01/13,Premier League,2015/2016,Defender,Sunderland,36,0,36,Wales,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.5,36,36,0,0,0,-1,-1,-1,26
Adam Smith,29,672879600,1991/04/28,Premier League,2015/2016,Defender,AFC Bournemouth,2093,1003,1090,England,31,15,16,2,1,1,0,0,0,0,0,7,4,3,34,16,18,5,0,0.09,0,0.09,0.09,0.08,1047,1.46,62,68,419,0,0.22,171,253,125,11
Adama Traoré Diarra,25,822528000,1996/01/25,Premier League,2015/2016,Midfielder,Aston Villa,184,56,128,Spain,10,5,5,0,0,0,1,0,1,0,0,0,0,0,8,4,4,1,0,0.49,0.49,0,0,0,0,3.91,23,18,184,184,0.49,-1,-1,-1,20
Adlène Guédioura,35,500601600,1985/11/12,Premier League,2015/2016,Midfielder,Watford,417,185,232,Algeria,18,7,11,0,0,0,2,1,1,0,0,6,3,3,9,4,5,2,0,0.43,0.43,0,0,0,0,1.94,46,23,209,209,0.43,286,8,-1,11
Adnan Januzaj,26,791942400,1995/02/05,Premier League,2015/2016,Midfielder,Manchester United,144,81,63,Belgium,5,3,2,1,0,1,0,0,0,0,0,2,1,1,1,1,0,1,0,0.63,0,0.63,0,1.43,144,0.63,144,29,144,0,0.63,-1,-1,-1,12
Adrian Mariappa,34,528678000,1986/10/02,Premier League,2015/2016,Defender,Crystal Palace,256,0,256,Jamaica,3,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,2.46,37,85,0,0,0,-1,-1,-1,22
Adrián San Miguel del Castillo,34,536630400,1987/01/03,Premier League,2015/2016,Goalkeeper,West Ham United,2880,1350,1530,Spain,32,15,17,0,0,0,0,0,0,0,0,9,5,4,38,16,22,2,1,0,0,0,0,0,0,1.19,76,90,960,0,0.09,388,372,78,18
Aiden McGeady,34,512953200,1986/04/03,Premier League,2015/2016,Midfielder,Everton,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alan Hutton,36,470620800,1984/11/30,Premier League,2015/2016,Defender,Aston Villa,2330,1170,1160,Scotland,28,14,14,0,0,0,1,0,1,0,0,2,2,0,51,24,27,8,1,0.04,0.04,0,0,0,0,1.97,46,83,291,2330,0.31,365,225,173,19
Alberto Moreno,28,710290800,1992/07/04,Premier League,2015/2016,Defender,Liverpool,2547,1491,1056,Spain,32,18,14,1,1,0,4,4,0,0,0,9,5,4,34,19,15,3,0,0.18,0.14,0.04,0.06,0,2547,1.2,75,80,849,637,0.11,231,102,81,12
Alberto Paloschi,31,631411200,1990/01/04,Premier League,2015/2016,Forward,Swansea City,669,299,370,Italy,10,4,6,2,0,2,0,0,0,0,0,2,2,0,11,2,9,2,0,0.27,0,0.27,0,0.49,335,1.48,61,67,335,0,0.27,75,305,-1,6
Aleix García,23,867452400,1997/06/27,Premier League,2015/2016,Midfielder,Manchester City,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aleksandar Kolarov,35,500428800,1985/11/10,Premier League,2015/2016,Defender,Manchester City,2281,1051,1230,Serbia,29,13,16,3,1,2,3,1,2,0,1,13,4,9,29,15,14,3,0,0.24,0.12,0.12,0.09,0.15,760,1.14,79,79,760,760,0.12,141,127,65,7
Aleksandar Mitrović,26,779670000,1994/09/15,Premier League,2015/2016,Forward,Newcastle United,2114,1037,1077,Serbia,34,17,17,9,5,4,4,3,1,2,0,7,4,3,37,13,24,6,2,0.55,0.17,0.38,0.43,0.33,235,1.58,57,62,264,529,0.34,29,84,-1,2
Alessandro Diamanti,37,420678000,1983/05/01,Premier League,2015/2016,Forward,Watford,64,50,14,Italy,3,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,-1,-1,-1,15
Alex Iwobi,24,831078000,1996/05/02,Premier League,2015/2016,Forward,Arsenal,630,287,343,Nigeria,13,5,8,2,1,1,2,0,2,0,0,8,4,4,5,0,5,0,0,0.57,0.29,0.29,0.31,0.26,315,0.71,126,48,0,315,0,67,26,-1,9
Alex McCarthy,31,628646400,1989/12/03,Premier League,2015/2016,Goalkeeper,Crystal Palace,630,360,270,England,7,4,3,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,1,90,90,0,0,0,327,428,46,20
Alex Oxlade-Chamberlain,27,745369200,1993/08/14,Premier League,2015/2016,Midfielder,Arsenal,921,534,387,England,22,11,11,1,0,1,0,0,0,0,0,10,5,5,8,6,2,0,0,0.1,0,0.1,0,0.23,921,0.78,115,42,0,0,0,164,344,-1,10
Alex Palmer,24,839631600,1996/08/09,Premier League,2015/2016,Goalkeeper,West Bromwich Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Pritchard,27,736383600,1993/05/02,Premier League,2015/2016,Midfielder,West Bromwich Albion,66,22,44,England,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,-1,-1,-1,13
Alexander Banor Tettey,34,512953200,1986/04/03,Premier League,2015/2016,Midfielder,Norwich City,1952,900,1052,Norway,23,11,12,2,1,1,0,0,0,0,0,3,3,0,34,11,23,10,0,0.09,0,0.09,0.1,0.09,976,1.57,57,85,195,0,0.46,183,393,-1,9
Alexandre Dimitri Song-Billong,33,558140400,1987/09/08,Premier League,2015/2016,Midfielder,West Ham United,659,290,369,Cameroon,12,4,8,0,0,0,0,0,0,0,0,4,2,2,6,3,3,1,0,0,0,0,0,0,0,0.82,110,55,659,0,0.14,310,329,-1,24
Alexandre Rodrigues da Silva,31,620694000,1989/09/01,Premier League,2015/2016,Forward,Chelsea,131,0,131,Brazil,2,0,2,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0.69,0,0.69,0,0.69,131,0.69,131,66,0,0,0,-1,-1,-1,19
Alexis Sanchez,32,598492800,1988/12/19,Premier League,2015/2016,Forward,Arsenal,2446,1174,1272,Chile,30,15,15,13,6,7,4,2,2,0,0,14,8,6,23,6,17,1,0,0.63,0.15,0.48,0.46,0.5,188,0.85,106,82,2446,612,0.04,19,89,-1,2
Allan Nyom,32,579222000,1988/05/09,Premier League,2015/2016,Defender,Watford,2475,1060,1415,Cameroon,32,15,17,0,0,0,1,0,1,0,0,10,7,3,33,10,23,8,0,0.04,0.04,0,0,0,0,1.2,75,77,309,2475,0.29,339,220,80,24
