full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdel Billel Omrani,28,738979200,1993/06/02,Ligue 1,2011/2012,Forward,Olympique Marseille,7,7,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,16
Abdelhamid El Kaoutari,31,637632000,1990/03/17,Ligue 1,2011/2012,Defender,Montpellier,288,180,108,Morocco,5,2,3,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,1,0,0,0,0,0,0,1.25,72,58,144,0,0.63,312,310,108,17
Abdoul Camara,31,635472000,1990/02/20,Ligue 1,2011/2012,Forward,Sochaux,931,374,557,Guinea,23,11,12,1,1,0,0,0,0,0,0,3,3,0,19,7,12,0,0,0.1,0,0.1,0.24,0,931,1.84,49,40,0,0,0,166,364,-1,12
Abdoulaye Bamba,31,641001600,1990/04/25,Ligue 1,2011/2012,Defender,Dijon,2028,854,1174,Côte d'Ivoire,24,10,14,0,0,0,0,0,0,0,0,5,3,2,34,10,24,4,0,0,0,0,0,0,0,1.51,60,85,507,0,0.18,371,369,158,24
Abdoulaye Diallo,29,701913600,1992/03/30,Ligue 1,2011/2012,Goalkeeper,Rennes,90,90,0,Senegal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,19
Abdoulaye Keita,30,651024000,1990/08/19,Ligue 1,2011/2012,Goalkeeper,Bordeaux,13,0,13,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,23
Abdoulaye Méïté,40,339638400,1980/10/06,Ligue 1,2011/2012,Defender,Dijon,2150,1168,982,Côte d'Ivoire,25,14,11,1,1,0,0,0,0,0,0,5,5,0,38,19,19,7,2,0.04,0,0.04,0.08,0,2150,1.59,57,86,239,0,0.38,234,365,166,10
Abdoulaye Sané,28,719107200,1992/10/15,Ligue 1,2011/2012,Forward,Rennes,0,0,0,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdoulaye Traoré,33,569376000,1988/01/17,Ligue 1,2011/2012,Midfielder,Bordeaux,241,84,157,Mali,9,5,4,1,0,1,0,0,0,0,0,2,2,0,7,2,5,0,0,0.37,0,0.37,0,0.57,241,2.61,34,27,0,0,0,-1,-1,-1,13
Abdoulrazak Boukari Fafadji,34,546307200,1987/04/25,Ligue 1,2011/2012,Midfielder,Rennes,763,330,433,Togo,20,9,11,3,2,1,2,0,2,0,0,6,1,5,13,7,6,1,0,0.59,0.24,0.35,0.55,0.21,254,1.53,59,38,763,382,0.12,37,39,-1,7
Abdulwahid Sissoko,31,637891200,1990/03/20,Ligue 1,2011/2012,Midfielder,Brest,468,162,306,Mali,10,4,6,0,0,0,0,0,0,0,0,4,2,2,8,1,7,1,1,0,0,0,0,0,0,1.54,59,47,234,0,0.38,277,270,-1,14
Abel Khaled,28,721267200,1992/11/09,Ligue 1,2011/2012,Midfielder,Brest,229,126,103,Algeria,7,3,4,0,0,0,0,0,0,0,0,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0.39,229,33,115,0,0.79,-1,-1,-1,30
Abraham Guie Gneki,35,522633600,1986/07/25,Ligue 1,2011/2012,Forward,Nice,926,551,375,Côte d'Ivoire,21,9,12,1,0,1,2,2,0,0,0,4,4,0,8,2,6,0,0,0.29,0.19,0.1,0,0.24,926,0.78,116,44,0,463,0,164,67,-1,8
Adama Ba,27,746409600,1993/08/27,Ligue 1,2011/2012,Midfielder,Brest,129,39,90,Mauritania,8,2,6,0,0,0,1,0,1,0,0,4,2,2,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,16,0,129,0,-1,-1,-1,16
Adama Coulibaly,40,339984000,1980/10/10,Ligue 1,2011/2012,Defender,Auxerre,682,412,270,Mali,8,5,3,0,0,0,0,0,0,0,0,1,0,1,10,7,3,1,0,0,0,0,0,0,0,1.32,68,85,682,0,0.13,315,311,126,26
Adrien Regattin,29,682819200,1991/08/22,Ligue 1,2011/2012,Midfielder,Toulouse,1163,646,517,Morocco,21,11,10,2,0,2,5,1,4,0,0,9,6,3,10,3,7,3,0,0.54,0.39,0.15,0,0.35,582,0.77,116,55,388,233,0.23,124,8,-1,6
Adrien Thomasson,27,755481600,1993/12/10,Ligue 1,2011/2012,Midfielder,Thonon Evian FC,44,33,11,France,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,44,0,2.05,-1,-1,-1,27
Ahmed Kantari,36,488764800,1985/06/28,Ligue 1,2011/2012,Defender,Brest,917,460,457,Morocco,12,6,6,0,0,0,0,0,0,0,0,4,2,2,9,4,5,2,0,0,0,0,0,0,0,0.88,102,76,459,0,0.2,276,269,35,12
Ahmed Soukouna,31,632188800,1990/01/13,Ligue 1,2011/2012,Forward,Toulouse,15,0,15,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,15,8,0,12,-1,-1,-1,21
Alassane Pléa,28,731721600,1993/03/10,Ligue 1,2011/2012,Forward,Olympique Lyonnais,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alassane També,29,696384000,1992/01/26,Ligue 1,2011/2012,Defender,PSG,0,0,0,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Albin Ebondo,37,446342400,1984/02/23,Ligue 1,2011/2012,Defender,Saint-Étienne,2092,1000,1092,France,25,12,13,0,0,0,1,0,1,0,0,7,4,3,21,10,11,1,0,0.04,0.04,0,0,0,0,0.9,100,84,2092,2092,0.04,274,207,39,14
Aldo Angoula,40,357782400,1981/05/04,Ligue 1,2011/2012,Defender,Thonon Evian FC,2575,1405,1170,France,30,17,13,2,1,1,0,0,0,0,0,6,3,3,36,18,18,9,1,0.07,0,0.07,0.06,0.08,1288,1.26,72,86,286,0,0.31,191,391,116,11
Alejandro César Alonso,39,383961600,1982/03/03,Ligue 1,2011/2012,Midfielder,Saint-Étienne,146,79,67,Argentina,5,3,2,0,0,0,0,0,0,0,0,2,2,0,3,0,3,1,0,0,0,0,0,0,0,1.85,49,29,146,0,0.62,-1,-1,-1,17
Alex Rodrigo Dias da Costa,39,393120000,1982/06/17,Ligue 1,2011/2012,Defender,PSG,1290,614,676,Brazil,15,7,8,2,2,0,0,0,0,0,0,3,2,1,19,5,14,2,0,0.14,0,0.14,0.29,0,645,1.33,68,86,645,0,0.14,130,275,131,7
Alexander Banor Tettey,35,512956800,1986/04/04,Ligue 1,2011/2012,Midfielder,Rennes,735,353,382,Norway,19,8,11,1,0,1,0,0,0,0,0,4,1,3,14,4,10,4,0,0.12,0,0.12,0,0.24,735,1.71,53,39,184,0,0.49,143,375,-1,12
Alexandre Alphonse,39,393120000,1982/06/17,Ligue 1,2011/2012,Forward,Brest,738,410,328,Guadeloupe,11,6,5,1,1,0,1,0,1,0,0,1,0,1,14,5,9,0,0,0.24,0.12,0.12,0.22,0,738,1.71,53,67,0,738,0,148,122,-1,7
Alexandre Cuvillier,35,519350400,1986/06/17,Ligue 1,2011/2012,Forward,Nancy,235,14,221,France,8,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1.15,78,29,0,0,0,-1,-1,-1,19
Alexandre Lacazette,30,675388800,1991/05/28,Ligue 1,2011/2012,Forward,Olympique Lyonnais,1397,754,643,France,29,15,14,5,2,3,3,3,0,1,0,4,1,3,18,10,8,6,0,0.52,0.19,0.32,0.24,0.42,279,1.16,78,48,233,466,0.39,45,65,-1,5
Alexandre Raineau,35,519696000,1986/06/21,Ligue 1,2011/2012,Midfielder,Caen,1527,672,855,France,19,9,10,0,0,0,0,0,0,0,0,6,5,1,18,5,13,3,0,0,0,0,0,0,0,1.06,85,80,509,0,0.18,348,352,-1,21
Alexis Thébaux,36,479865600,1985/03/17,Ligue 1,2011/2012,Goalkeeper,Caen,3420,1710,1710,France,38,19,19,0,0,0,0,0,0,0,0,8,7,1,52,21,31,2,0,0,0,0,0,0,0,1.37,66,90,1710,0,0.05,336,350,135,15
