short_name,club_name,player_name,club_involved_name,fee_cleaned,league_name,year,age,position,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
J. Willock,Arsenal FC,Joe Willock,Newcastle,26.46,Premier League,2021,22.0,Midfielder,1214.0,604.0,610.0,England,21.0,10.0,11.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,18.0,11.0,7.0,1.0,0.0,0.59,0.0,0.59,0.75,0.44,152.0,1.33,67.0,58.0,1214.0,0.0,0.07,9.0,340.0,-1.0,2.0
L. Torreira,Arsenal FC,Lucas Torreira,Fiorentina,1.35,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Grealish,Aston Villa,Jack Grealish,Man City,105.75,Premier League,2021,26.0,Midfielder,2184.0,1005.0,1179.0,England,26.0,12.0,14.0,6.0,3.0,3.0,10.0,6.0,4.0,0.0,0.0,13.0,6.0,7.0,27.0,15.0,12.0,6.0,0.0,0.66,0.41,0.25,0.27,0.23,364.0,1.11,81.0,84.0,364.0,218.0,0.25,67.0,4.0,-1.0,4.0
A. Samatta,Aston Villa,Ally Samatta,Fenerbahce,5.4,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Engels,Aston Villa,Björn Engels,Royal Antwerp,3.15,Premier League,2021,27.0,Defender,0.0,0.0,0.0,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
B. White,Brighton & Hove Albion,Ben White,Arsenal,52.65,Premier League,2021,24.0,Defender,3195.0,1582.0,1613.0,England,36.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,40.0,18.0,22.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,80.0,89.0,639.0,0.0,0.14,406.0,388.0,55.0,18.0
P. Tau,Brighton & Hove Albion,Percy Tau,El Ahly,1.62,Premier League,2021,27.0,Midfielder,102.0,17.0,85.0,South Africa,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.88,0.88,0.0,0.0,0.0,0.0,1.76,51.0,34.0,0.0,102.0,0.0,-1.0,-1.0,-1.0,22.0
V. Gyökeres,Brighton & Hove Albion,Viktor Gyökeres,Coventry,1.08,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Karbownik,Brighton & Hove Albion,Michal Karbownik,Olympiacos,0.9,Premier League,2021,20.0,Midfielder,0.0,0.0,0.0,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
B. Gibson,Burnley FC,Ben Gibson,Norwich,8.37,Premier League,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
