full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Hunt,34,526172400,1986/09/03,Bundesliga,2015/2016,Midfielder,Hamburger SV,1740,975,765,Germany,23,13,10,1,1,0,2,1,1,1,0,8,3,5,19,12,7,2,0,0.16,0.1,0.05,0.09,0,1740,0.98,92,76,870,870,0.1,197,141,-1,11
Adam Hloušek,32,598579200,1988/12/20,Bundesliga,2015/2016,Defender,Stuttgart,416,183,233,Czech Republic,7,3,4,0,0,0,0,0,0,0,0,2,1,1,11,6,5,1,0,0,0,0,0,0,0,2.38,38,59,416,0,0.22,341,367,159,28
Ádám Szalai,33,566006400,1987/12/09,Bundesliga,2015/2016,Forward,Hannover 96,793,539,254,Hungary,16,11,5,0,0,0,2,1,1,0,0,3,3,0,20,13,7,2,0,0.23,0.23,0,0,0,0,2.27,40,50,397,397,0.23,236,35,-1,26
Adelino André Vieira Freitas,35,506908800,1986/01/24,Bundesliga,2015/2016,Midfielder,Wolfsburg,1903,992,911,Portugal,26,14,12,1,1,0,5,4,1,0,0,6,3,3,23,9,14,3,0,0.28,0.24,0.05,0.09,0,1903,1.09,83,73,634,381,0.14,192,29,-1,14
Admir Mehmedi,30,669081600,1991/03/16,Bundesliga,2015/2016,Forward,Bayer Leverkusen,1327,506,821,Switzerland,28,13,15,2,1,1,5,2,3,0,0,10,4,6,26,11,15,2,0,0.47,0.34,0.14,0.18,0.11,664,1.76,51,47,664,265,0.14,116,15,-1,8
Adnan Januzaj,26,791942400,1995/02/05,Bundesliga,2015/2016,Midfielder,Borussia Dortmund,159,71,88,Belgium,6,3,3,0,0,0,2,1,1,0,0,1,1,0,2,0,2,0,0,1.13,1.13,0,0,0,0,1.13,80,27,0,80,0,-1,-1,-1,15
Ahmet Arslan,26,764982000,1994/03/29,Bundesliga,2015/2016,Midfielder,Hamburger SV,0,0,0,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Albian Ajeti,24,856915200,1997/02/26,Bundesliga,2015/2016,Forward,Augsburg,36,0,36,Switzerland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,-1,-1,-1,27
Albin Ekdal,31,617583600,1989/07/27,Bundesliga,2015/2016,Midfielder,Hamburger SV,1143,478,665,Sweden,14,6,8,0,0,0,0,0,0,0,0,5,2,3,19,8,11,4,0,0,0,0,0,0,0,1.5,60,82,286,0,0.31,292,266,-1,23
Alejandro Gálvez Jimena,31,613090800,1989/06/05,Bundesliga,2015/2016,Defender,Werder Bremen,1273,508,765,Spain,21,10,11,1,0,1,0,0,0,0,0,1,1,0,28,11,17,3,0,0.07,0,0.07,0,0.12,1273,1.98,45,61,424,0,0.21,177,272,150,8
Aleksandar Ignjovski,30,664934400,1991/01/27,Bundesliga,2015/2016,Defender,Eintracht Frankfurt,1218,499,719,Serbia,18,8,10,0,0,0,2,2,0,0,0,4,1,3,18,8,10,3,0,0.15,0.15,0,0,0,0,1.33,68,68,406,609,0.22,336,94,73,25
Alessandro Schöpf,27,760579200,1994/02/07,Bundesliga,2015/2016,Midfielder,Schalke 04,470,264,206,Austria,13,5,8,3,2,1,1,1,0,0,0,2,1,1,7,3,4,1,0,0.77,0.19,0.57,0.68,0.44,157,1.34,67,36,470,470,0.19,9,57,-1,5
Alexander Baumjohann,34,538358400,1987/01/23,Bundesliga,2015/2016,Midfielder,Hertha BSC,432,199,233,Germany,24,14,10,1,1,0,2,2,0,1,0,9,7,2,5,2,3,0,0,0.63,0.42,0.21,0.45,0,432,1.04,86,18,0,216,0,83,5,-1,10
Alexander Esswein,30,638323200,1990/03/25,Bundesliga,2015/2016,Midfielder,Augsburg,1809,728,1081,Germany,29,14,15,3,1,2,1,1,0,0,0,8,3,5,26,12,14,1,0,0.2,0.05,0.15,0.12,0.17,603,1.29,70,62,1809,1809,0.05,110,200,-1,6
Alexander Hack,27,747442800,1993/09/07,Bundesliga,2015/2016,Defender,Mainz 05,630,270,360,Germany,7,3,4,0,0,0,0,0,0,0,0,1,1,0,8,3,5,1,0,0,0,0,0,0,0,1.14,79,90,630,0,0.14,258,269,38,21
Alexander Manninger,43,234226800,1977/06/03,Bundesliga,2015/2016,Goalkeeper,Augsburg,93,93,0,Austria,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2.9,31,47,0,0,0,-1,-1,-1,22
Alexander Meier,38,411609600,1983/01/17,Bundesliga,2015/2016,Forward,Eintracht Frankfurt,1658,898,760,Germany,19,10,9,12,10,2,1,0,1,1,0,6,3,3,29,17,12,2,1,0.71,0.05,0.65,1,0.24,138,1.57,57,87,829,1658,0.11,8,199,-1,1
Alexander Milosevic,29,696729600,1992/01/30,Bundesliga,2015/2016,Defender,Hannover 96,822,416,406,Sweden,10,5,5,0,0,0,0,0,0,0,0,1,1,0,16,6,10,1,0,0,0,0,0,0,0,1.75,51,82,822,0,0.11,241,261,136,16
Alexander Nübel,24,844038000,1996/09/29,Bundesliga,2015/2016,Goalkeeper,Schalke 04,0,0,0,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexander Stolz,37,434847600,1983/10/12,Bundesliga,2015/2016,Goalkeeper,Hoffenheim,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexandru Maxim,30,647391600,1990/07/07,Bundesliga,2015/2016,Midfielder,Stuttgart,1046,567,479,Romania,25,14,11,1,0,1,5,3,2,0,0,4,3,1,18,7,11,1,0,0.52,0.43,0.09,0,0.19,1046,1.55,58,42,1046,209,0.09,154,3,-1,10
Alfredo Morales,30,642466800,1990/05/11,Bundesliga,2015/2016,Midfielder,Ingolstadt,1663,831,832,USA,24,12,12,1,1,0,2,1,1,0,0,7,3,4,19,9,10,7,0,0.16,0.11,0.05,0.11,0,1663,1.03,88,69,238,832,0.38,195,133,-1,12
Alfreð Finnbogason,32,602294400,1989/02/01,Bundesliga,2015/2016,Forward,Augsburg,1133,530,603,Iceland,14,6,8,7,4,3,1,1,0,1,0,4,2,2,20,10,10,3,0,0.64,0.08,0.56,0.68,0.45,162,1.59,57,81,378,1133,0.24,10,164,-1,2
