full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Meijers,33,562377600,1987/10/28,Eredivisie,2012/2013,Defender,ADO Den Haag,2692,1349,1343,Netherlands,31,15,16,0,0,0,4,3,1,0,0,4,3,1,57,26,31,9,1,0.13,0.13,0,0,0,0,1.91,47,87,299,673,0.3,345,97,115,22
Abel Tezzy Tamata,30,660355200,1990/12/05,Eredivisie,2012/2013,Defender,Roda JC,1876,990,886,Congo DR,22,11,11,0,0,0,1,0,1,0,0,4,3,1,36,14,22,3,1,0.05,0.05,0,0,0,0,1.73,52,85,469,1876,0.19,298,182,97,21
Adam Maher,28,743126400,1993/07/20,Eredivisie,2012/2013,Midfielder,AZ,2684,1417,1267,Netherlands,31,16,15,7,2,5,5,4,1,0,0,6,5,1,41,20,21,4,1,0.4,0.17,0.23,0.13,0.36,383,1.37,65,87,537,537,0.17,77,67,-1,2
Adam Sarota,32,599270400,1988/12/28,Eredivisie,2012/2013,Midfielder,Utrecht,1525,736,789,Australia,18,9,9,0,0,0,2,0,2,0,0,5,3,2,13,5,8,1,0,0.12,0.12,0,0,0,0,0.77,117,85,1525,763,0.06,274,111,-1,26
Adil Ramzi,44,237686400,1977/07/14,Eredivisie,2012/2013,Midfielder,Roda JC,660,273,387,Morocco,13,6,7,2,1,1,0,0,0,0,0,3,3,0,14,2,12,2,0,0.27,0,0.27,0.33,0.23,330,1.91,47,51,330,0,0.27,63,273,-1,7
Admir Bajrovic,26,807667200,1995/08/06,Eredivisie,2012/2013,Forward,NEC,0,0,0,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adnan Šećerović,29,691545600,1991/12/01,Eredivisie,2012/2013,Forward,Roda JC,0,0,0,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ahmed Ammi,40,348710400,1981/01/19,Eredivisie,2012/2013,Defender,VVV,442,210,232,Morocco,8,4,4,0,0,0,2,1,1,0,0,2,1,1,9,6,3,1,0,0.41,0.41,0,0,0,0,1.83,49,55,442,221,0.2,242,10,102,13
Aleksandar Radosavljevič,42,293846400,1979/04/25,Eredivisie,2012/2013,Midfielder,VVV,2174,936,1238,Slovenia,27,12,15,1,0,1,1,0,1,0,0,5,2,3,32,18,14,4,0,0.08,0.04,0.04,0,0.07,2174,1.32,68,81,544,2174,0.17,200,197,-1,12
Alex Renato Ibarra Mina,30,664329600,1991/01/20,Eredivisie,2012/2013,Midfielder,Vitesse,2614,1270,1344,Ecuador,32,16,16,3,2,1,9,3,6,0,0,12,6,6,35,14,21,2,0,0.41,0.31,0.1,0.14,0.07,871,1.21,75,82,1307,290,0.07,142,24,-1,5
