club_name,player_name,club_involved_name,fee_cleaned,league_name,year,short_name
Arsenal FC,Joe Willock,Newcastle,26.46,Premier League,2021,J. Willock
Arsenal FC,Lucas Torreira,Fiorentina,1.35,Premier League,2021,L. Torreira
Aston Villa,Jack Grealish,Man City,105.75,Premier League,2021,J. Grealish
Aston Villa,Ally Samatta,Fenerbahce,5.4,Premier League,2021,A. Samatta
Aston Villa,Björn Engels,Royal Antwerp,3.15,Premier League,2021,B. Engels
Brighton & Hove Albion,Ben White,Arsenal,52.65,Premier League,2021,B. White
Brighton & Hove Albion,Percy Tau,El Ahly,1.62,Premier League,2021,P. Tau
Brighton & Hove Albion,Viktor Gyökeres,Coventry,1.08,Premier League,2021,V. Gyökeres
Brighton & Hove Albion,Michal Karbownik,Olympiacos,0.9,Premier League,2021,M. Karbownik
Burnley FC,Ben Gibson,Norwich,8.37,Premier League,2021,B. Gibson
Chelsea FC,Tammy Abraham,AS Roma,36.0,Premier League,2021,T. Abraham
Chelsea FC,Kurt Zouma,West Ham,31.5,Premier League,2021,K. Zouma
Chelsea FC,Fikayo Tomori,AC Milan,26.28,Premier League,2021,F. Tomori
Chelsea FC,Davide Zappacosta,Atalanta BC,8.1,Premier League,2021,D. Zappacosta
Chelsea FC,Victor Moses,Spartak Moscow,4.5,Premier League,2021,V. Moses
Chelsea FC,Tiemoué Bakayoko,AC Milan,1.8,Premier League,2021,T. Bakayoko
Chelsea FC,Olivier Giroud,AC Milan,0.9,Premier League,2021,O. Giroud
Chelsea FC,Emerson,Olympique Lyon,0.45,Premier League,2021,Emerson
Chelsea FC,Kenedy,Flamengo,0.45,Premier League,2021,Kenedy
Chelsea FC,Michy Batshuayi,Besiktas,0.135,Premier League,2021,M. Batshuayi
Everton FC,Moise Kean,Juventus,6.3,Premier League,2021,M. Kean
Everton FC,Bernard,Sharjah FC,0.9,Premier League,2021,Bernard
Leicester City,Rachid Ghezzal,Besiktas,2.7,Premier League,2021,R. Ghezzal
Leicester City,Dennis Praet,Torino,0.9,Premier League,2021,D. Praet
Liverpool FC,Harry Wilson,Fulham,12.6,Premier League,2021,H. Wilson
Liverpool FC,Taiwo Awoniyi,Union Berlin,5.85,Premier League,2021,T. Awoniyi
Liverpool FC,Xherdan Shaqiri,Olympique Lyon,5.4,Premier League,2021,X. Shaqiri
Liverpool FC,Marko Grujic,FC Porto,0.9,Premier League,2021,M. Grujic
Manchester City,Angeliño,RB Leipzig,16.2,Premier League,2021,Angeliño
Manchester City,Jack Harrison,Leeds,11.52,Premier League,2021,J. Harrison
Manchester City,Lukas Nmecha,VfL Wolfsburg,7.2,Premier League,2021,L. Nmecha
Manchester United,Daniel James,Leeds,26.19,Premier League,2021,D. James
Norwich City,Emiliano Buendía,Aston Villa,34.56,Premier League,2021,E. Buendía
Southampton FC,Danny Ings,Aston Villa,31.68,Premier League,2021,D. Ings
