full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abbas Ibrahim,23,883699200,1998/01/02,Liga NOS,2020/2021,Midfielder,Paços de Ferreira,273,92,181,Nigeria,10,4,6,0,0,0,0,0,0,0,0,2,1,1,5,2,3,0,0,0,0,0,0,0,0,1.65,55,27,0,0,0,363,362,-1,21
Abdel Jalil Zaim Idriss Medioub,24,872726400,1997/08/28,Liga NOS,2020/2021,Defender,CD Tondela,1034,539,495,France,16,7,9,0,0,0,1,1,0,0,0,3,3,0,22,6,16,3,0,0.09,0.09,0,0,0,0,1.91,47,65,345,1034,0.26,248,123,151,14
Abdoulaye Ba,30,662688000,1991/01/01,Liga NOS,2020/2021,Defender,Moreirense FC,983,323,660,Senegal,12,4,8,0,0,0,0,0,0,0,0,3,0,3,10,5,5,2,0,0,0,0,0,0,0,0.92,98,82,492,0,0.18,220,253,39,15
Abdu Conté,23,890697600,1998/03/24,Liga NOS,2020/2021,Defender,Moreirense FC,1845,900,945,Portugal,22,10,12,0,0,0,3,1,2,0,0,6,2,4,23,15,8,2,0,0.15,0.15,0,0,0,0,1.12,80,84,923,615,0.1,216,74,73,17
Abdul Mumin,23,897091200,1998/06/06,Liga NOS,2020/2021,Defender,Vitória Guimarães,2028,983,1045,Ghana,25,13,12,0,0,0,0,0,0,0,0,9,4,5,29,17,12,5,1,0,0,0,0,0,0,1.29,70,81,338,0,0.27,320,322,114,26
Abdullahi Ibrahim Alhassan,24,846979200,1996/11/03,Liga NOS,2020/2021,Forward,CD Nacional,1111,614,497,Nigeria,21,11,10,0,0,0,1,1,0,0,0,7,3,4,14,8,6,5,1,0.08,0.08,0,0,0,0,1.13,79,53,222,1111,0.41,277,132,-1,21
Abdulwahab Ibrahim,22,916185600,1999/01/13,Liga NOS,2020/2021,Midfielder,Famalicão,44,44,0,Ghana,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4.09,22,44,0,0,0,-1,-1,-1,33
Abel Ruiz Ortega,21,949017600,2000/01/28,Liga NOS,2020/2021,Forward,Sporting Braga,1290,635,655,Spain,25,13,12,3,2,1,3,3,0,0,0,6,2,4,12,5,7,1,0,0.42,0.21,0.21,0.28,0.14,430,0.84,108,52,1290,430,0.07,79,39,-1,7
Abner Felipe Souza de Almeida,25,833414400,1996/05/30,Liga NOS,2020/2021,Defender,Farense,1226,540,686,Brazil,14,6,8,0,0,0,1,0,1,0,0,4,1,3,17,5,12,4,0,0.07,0.07,0,0,0,0,1.25,72,88,307,1226,0.29,267,154,106,16
Adel Taarabt,32,611971200,1989/05/24,Liga NOS,2020/2021,Midfielder,Benfica,1644,801,843,Morocco,26,14,12,0,0,0,3,0,3,0,0,12,7,5,11,5,6,4,0,0.16,0.16,0,0,0,0,0.6,149,63,411,548,0.22,314,71,-1,30
