full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdul Aziz Tetteh,30,643593600,1990/05/25,Russian Premier League,2019/2020,Midfielder,Dinamo Moskva,140,20,120,Ghana,3,1,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0.64,140,47,0,0,0,-1,-1,-1,27
Ablay Mbengue,28,705888000,1992/05/15,Russian Premier League,2019/2020,Forward,Akhmat Grozny,598,362,236,Senegal,16,9,7,1,1,0,1,1,0,0,0,3,2,1,8,4,4,2,1,0.3,0.15,0.15,0.25,0,598,1.2,75,37,299,598,0.3,96,59,-1,7
Abubakar Kadyrov,24,841017600,1996/08/26,Russian Premier League,2019/2020,Forward,Akhmat Grozny,0,0,0,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adessoye Oyewole,38,401155200,1982/09/18,Russian Premier League,2019/2020,Defender,Tambov,2276,943,1333,Russia,26,11,15,1,1,0,1,1,0,0,0,6,5,1,31,10,21,7,0,0.08,0.04,0.04,0.1,0,2276,1.23,73,88,325,2276,0.28,167,154,97,11
Agustín Maximiliano Rogel Paita,23,877046400,1997/10/17,Russian Premier League,2019/2020,Defender,Krylya Sovetov,0,0,0,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aikhan Guseynov,21,936316800,1999/09/03,Russian Premier League,2019/2020,Midfielder,Ural,0,0,0,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Akmal Bakhtiyarov,22,896745600,1998/06/02,Russian Premier League,2019/2020,Forward,FK Sochi,26,23,3,Kazakhstan,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,16
Alan Dzagoev,30,645580800,1990/06/17,Russian Premier League,2019/2020,Midfielder,CSKA Moskva,487,347,140,Russia,10,6,4,0,0,0,0,0,0,0,0,3,3,0,4,2,2,2,0,0,0,0,0,0,0,0.74,122,49,244,0,0.37,218,219,-1,14
Aleks Matsukatov,22,916012800,1999/01/11,Russian Premier League,2019/2020,Midfielder,Krasnodar,25,25,0,Russia,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,14
Aleksandr Anyukov,38,402019200,1982/09/28,Russian Premier League,2019/2020,Defender,Krylya Sovetov,1484,657,827,Russia,18,8,10,0,0,0,0,0,0,0,0,6,3,3,19,9,10,6,1,0,0,0,0,0,0,1.15,78,82,212,0,0.42,333,331,84,27
Aleksandr Belenov,34,526953600,1986/09/13,Russian Premier League,2019/2020,Goalkeeper,Ufa,2340,1080,1260,Russia,26,12,14,0,0,0,0,0,0,0,0,13,4,9,17,9,8,3,0,0,0,0,0,0,0,0.65,138,90,780,0,0.12,210,188,17,21
Aleksandr Chernikov,21,949363200,2000/02/01,Russian Premier League,2019/2020,Midfielder,Krasnodar,186,97,89,Russia,6,3,3,0,0,0,0,0,0,0,0,4,2,2,1,1,0,2,0,0,0,0,0,0,0,0.48,186,31,93,0,0.97,-1,-1,-1,17
Aleksandr Dolgov,22,906595200,1998/09/24,Russian Premier League,2019/2020,Forward,Rostov,163,88,75,Russia,15,9,6,0,0,0,0,0,0,0,0,5,2,3,2,2,0,3,0,0,0,0,0,0,0,1.1,82,11,54,0,1.66,-1,-1,-1,36
