full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aarón Escandell Banacloche,25,812156400,1995/09/26,La Liga,2015/2016,Goalkeeper,Málaga CF,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdoul Karim Yoda,32,593740800,1988/10/25,La Liga,2015/2016,Midfielder,Getafe CF,971,532,439,France,18,10,8,0,0,0,0,0,0,0,0,1,1,0,26,9,17,3,0,0,0,0,0,0,0,2.41,37,54,324,0,0.28,253,340,-1,16
Abdoulaye Doucouré,28,725846400,1993/01/01,La Liga,2015/2016,Midfielder,Granada CF,1156,600,556,France,15,8,7,0,0,0,2,1,1,0,0,3,2,1,17,9,8,5,0,0.16,0.16,0,0,0,0,1.32,68,77,231,578,0.39,263,103,-1,12
Abraham González Casanova,35,490316400,1985/07/15,La Liga,2015/2016,Midfielder,RCD Espanyol,1101,462,639,Spain,20,9,11,1,1,0,1,1,0,0,0,3,3,0,20,6,14,1,0,0.16,0.08,0.08,0.19,0,1101,1.63,55,55,1101,1101,0.08,170,180,-1,8
Adalberto Peñaranda Maestre,23,865033200,1997/05/30,La Liga,2015/2016,Forward,Granada CF,1678,717,961,Venezuela,23,11,12,5,1,4,3,2,1,0,0,3,2,1,36,12,24,8,0,0.43,0.16,0.27,0.13,0.37,336,1.93,47,73,210,559,0.43,61,101,-1,4
Aderllan Leandro de Jesus Santos,31,608079600,1989/04/08,La Liga,2015/2016,Defender,Valencia CF,1520,890,630,Brazil,17,10,7,0,0,0,0,0,0,0,0,2,2,0,21,13,8,2,1,0,0,0,0,0,0,1.24,72,89,760,0,0.12,285,269,86,18
Adil Rami,35,504489600,1985/12/27,La Liga,2015/2016,Defender,Sevilla FC,2427,1080,1347,France,28,12,16,0,0,0,1,1,0,0,0,9,6,3,32,10,22,9,1,0.04,0.04,0,0,0,0,1.19,76,87,270,2427,0.33,364,238,76,32
Adnane Tighadouini,28,723081600,1992/11/30,La Liga,2015/2016,Midfielder,Málaga CF,386,189,197,Morocco,10,5,5,1,1,0,0,0,0,0,0,3,2,1,3,1,2,0,0,0.23,0,0.23,0.48,0,386,0.7,129,39,0,0,0,80,307,-1,11
Adrián,34,536630400,1987/01/03,La Liga,2015/2016,Goalkeeper,Villarreal,792,362,430,Spain,16,7,9,4,1,3,4,3,1,0,0,7,3,4,9,3,6,1,0,0.91,0.45,0.45,0.25,0.63,198,1.02,88,50,792,198,0.11,30,7,50,5
Adrián Embarba Blázquez,28,705193200,1992/05/06,La Liga,2015/2016,Forward,Rayo Vallecano,1832,842,990,Spain,28,13,15,2,2,0,5,2,3,0,0,2,1,1,36,19,17,5,0,0.34,0.25,0.1,0.21,0,916,1.77,51,65,366,366,0.25,149,33,-1,9
Adrian Gonzalez,32,580518000,1988/05/24,La Liga,2015/2016,Midfielder,SD Eibar,2232,946,1286,Spain,32,16,16,5,3,2,0,0,0,0,0,6,3,3,40,12,28,6,0,0.2,0,0.2,0.29,0.14,446,1.61,56,70,372,0,0.24,91,451,-1,3
Adrián Marín Gómez,24,852768000,1997/01/09,La Liga,2015/2016,Defender,Villarreal,925,565,360,Spain,11,7,4,0,0,0,0,0,0,0,0,6,5,1,7,2,5,1,0,0,0,0,0,0,0,0.68,132,84,925,0,0.1,275,348,16,15
Adriano Correia Claro,36,467593200,1984/10/25,La Liga,2015/2016,Defender,FC Barcelona,431,249,182,Brazil,8,5,3,0,0,0,1,0,1,0,0,4,3,1,4,2,2,0,0,0.21,0.21,0,0,0,0,0.84,108,54,0,431,0,280,66,32,20
Ager Aketxe Barrutia,27,757209600,1993/12/30,La Liga,2015/2016,Midfielder,Athletic Club Bilbao,186,68,118,Spain,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1.45,62,62,0,0,0,-1,-1,-1,21
Alberto de la Bella,35,502329600,1985/12/02,La Liga,2015/2016,Defender,Real Sociedad,1248,630,618,Spain,15,7,8,0,0,0,2,1,1,0,0,7,3,4,14,6,8,5,0,0.14,0.14,0,0,0,0,1.01,89,83,250,624,0.36,323,115,49,21
Alberto García Cabrera,36,476755200,1985/02/09,La Liga,2015/2016,Goalkeeper,Sporting Gijón,540,180,360,Spain,6,2,4,0,0,0,0,0,0,0,0,0,0,0,13,5,8,0,0,0,0,0,0,0,0,2.17,42,90,0,0,0,453,391,193,20
Alberto Guitián Ceballos,30,649206000,1990/07/28,La Liga,2015/2016,Defender,Sporting Gijón,90,0,90,Spain,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,45,90,90,0,1,-1,-1,-1,18
Alberto Lopo García,40,326329200,1980/05/04,La Liga,2015/2016,Defender,Deportivo La Coruña,741,360,381,Spain,10,4,6,0,0,0,0,0,0,0,0,2,2,0,12,3,9,5,0,0,0,0,0,0,0,1.46,62,74,148,0,0.61,369,288,123,19
Alberto Lora Ramos,33,543628800,1987/03/25,La Liga,2015/2016,Defender,Sporting Gijón,2411,1105,1306,Spain,31,14,17,0,0,0,4,1,3,0,0,6,4,2,40,16,24,7,0,0.15,0.15,0,0,0,0,1.49,60,78,344,603,0.26,422,111,131,27
Alberto Mateus Contreiras Gonçalves,38,415843200,1983/03/07,La Liga,2015/2016,Forward,Rayo Vallecano,928,526,402,Angola,28,14,14,4,2,2,1,0,1,0,0,4,3,1,15,7,8,3,0,0.48,0.1,0.39,0.34,0.45,232,1.45,62,33,309,928,0.29,38,154,-1,4
Aleix Vidal,31,619657200,1989/08/20,La Liga,2015/2016,Defender,FC Barcelona,543,329,214,Spain,9,5,4,0,0,0,1,0,1,0,0,4,3,1,3,1,2,1,0,0.17,0.17,0,0,0,0,0.5,181,60,543,543,0.17,287,94,8,24
Alejandro Arribas,31,609980400,1989/04/30,La Liga,2015/2016,Defender,Deportivo La Coruña,2737,1241,1496,Spain,31,14,17,2,2,0,0,0,0,0,0,5,2,3,44,20,24,11,1,0.07,0,0.07,0.15,0,1369,1.45,62,88,249,0,0.36,194,275,120,6
Alejandro Barrera García,29,674002800,1991/05/11,La Liga,2015/2016,Midfielder,Sporting Gijón,57,46,11,Spain,5,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,13
Alejandro Bergantiños García,35,486946800,1985/06/06,La Liga,2015/2016,Midfielder,Deportivo La Coruña,1750,971,779,Spain,22,13,9,2,1,1,1,1,0,0,0,6,3,3,29,19,10,3,0,0.15,0.05,0.1,0.09,0.12,875,1.49,60,80,583,1750,0.15,146,236,-1,8
Alejandro Campos Tablado,29,678063600,1991/06/27,La Liga,2015/2016,Goalkeeper,Rayo Vallecano,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alejandro Menéndez Díez,29,679532400,1991/07/14,La Liga,2015/2016,Defender,Sporting Gijón,1033,308,725,Spain,21,10,11,2,0,2,1,1,0,0,0,4,3,1,29,7,22,1,0,0.26,0.09,0.17,0,0.25,517,2.53,36,49,1033,1033,0.09,104,163,197,8
